 Count File                          Function                                      Line
     1 .../julia/lib/julia/sys.dylib !                                               -1
     3 .../julia/lib/julia/sys.dylib +                                               -1
     6 .../julia/lib/julia/sys.dylib ==                                              -1
     1 .../julia/lib/julia/sys.dylib >                                               -1
     4 .../julia/lib/julia/sys.dylib BitArray                                        -1
     1 .../julia/lib/julia/sys.dylib StepRange                                       -1
     1 .../julia/lib/julia/sys.dylib _basemod                                        -1
     2 .../julia/lib/julia/sys.dylib _mapreduce                                      -1
    35 .../julia/lib/julia/sys.dylib _methods                                        -1
     2 .../julia/lib/julia/sys.dylib _start                                          -1
    46 .../julia/lib/julia/sys.dylib abstract_call                                   -1
    42 .../julia/lib/julia/sys.dylib abstract_call_gf                                -1
    54 .../julia/lib/julia/sys.dylib abstract_eval                                   -1
    34 .../julia/lib/julia/sys.dylib abstract_eval_arg                               -1
    53 .../julia/lib/julia/sys.dylib abstract_eval_call                              -1
     1 .../julia/lib/julia/sys.dylib abstract_eval_constant                          -1
     1 .../julia/lib/julia/sys.dylib abstract_eval_global                            -1
     1 .../julia/lib/julia/sys.dylib abstract_eval_symbol                            -1
    19 .../julia/lib/julia/sys.dylib abstract_interpret                              -1
     6 .../julia/lib/julia/sys.dylib anonymous                                       -1
     1 .../julia/lib/julia/sys.dylib colon                                           -1
     2 .../julia/lib/julia/sys.dylib contains_is1                                    -1
     2 .../julia/lib/julia/sys.dylib done                                            -1
     8 .../julia/lib/julia/sys.dylib effect_free                                     -1
     1 .../julia/lib/julia/sys.dylib exprtype                                        -1
     3 .../julia/lib/julia/sys.dylib getindex                                        -1
     2 .../julia/lib/julia/sys.dylib indexed_next                                    -1
    17 .../julia/lib/julia/sys.dylib inlineable                                      -1
    71 .../julia/lib/julia/sys.dylib inlining_pass                                   -1
     2 .../julia/lib/julia/sys.dylib is_known_call                                   -1
     2 .../julia/lib/julia/sys.dylib isconstantfunc                                  -1
     1 .../julia/lib/julia/sys.dylib lexcmp                                          -1
     1 .../julia/lib/julia/sys.dylib mapfoldl                                        -1
     2 .../julia/lib/julia/sys.dylib mapfoldl_impl                                   -1
     1 .../julia/lib/julia/sys.dylib mapreduce_impl                                  -1
     8 .../julia/lib/julia/sys.dylib next                                            -1
    20 .../julia/lib/julia/sys.dylib occurs_outside_tupleref                         -1
     1 .../julia/lib/julia/sys.dylib prompt!                                         -1
     1 .../julia/lib/julia/sys.dylib reduce                                          -1
     8 .../julia/lib/julia/sys.dylib replace_tupleref!                               -1
     9 .../julia/lib/julia/sys.dylib resolve_globals                                 -1
     2 .../julia/lib/julia/sys.dylib resolve_relative                                -1
     1 .../julia/lib/julia/sys.dylib run_frontend                                    -1
     2 .../julia/lib/julia/sys.dylib run_interface                                   -1
     1 .../julia/lib/julia/sys.dylib run_repl                                        -1
     1 .../julia/lib/julia/sys.dylib sizeof                                          -1
     5 .../julia/lib/julia/sys.dylib stupdate                                        -1
     3 .../julia/lib/julia/sys.dylib sym_replace                                     -1
     2 .../julia/lib/julia/sys.dylib tchanged                                        -1
     1 .../julia/lib/julia/sys.dylib tmerge                                          -1
     4 .../julia/lib/julia/sys.dylib tuple_elim_pass                                 -1
     4 .../julia/lib/julia/sys.dylib tupleref_elim_pass                              -1
   160 .../julia/lib/julia/sys.dylib typeinf                                         -1
    44 .../julia/lib/julia/sys.dylib typeinf_ext                                     -1
     1 .../julia/lib/julia/sys.dylib unique_name                                     -1
     1 .../julia/lib/julia/sys.dylib unshift!                                        -1
     1 .../julia/lib/julia/sys.dylib vcat                                            -1
     2 ...er-ABM/Experiments_core.jl do_timingtest                                   32
   422 ...er-ABM/Experiments_core.jl do_timingtest                                   56
    39 ...er-ABM/Experiments_core.jl do_timingtest                                   60
     1 ...isher-ABM/sub_functions.jl fnc_contact                                    379
     1 ...isher-ABM/sub_functions.jl fnc_contact                                    381
     2 ...isher-ABM/sub_functions.jl fnc_contact                                    384
     1 ...isher-ABM/sub_functions.jl fnc_contact                                    385
     4 ...isher-ABM/sub_functions.jl fnc_contact                                    392
    24 ...isher-ABM/sub_functions.jl fnc_contact                                    393
     3 ...isher-ABM/sub_functions.jl fnc_contact                                    407
     1 ...isher-ABM/sub_functions.jl fnc_contact                                    410
     1 ...isher-ABM/sub_functions.jl fnc_difference                                  96
     9 ...isher-ABM/sub_functions.jl fnc_dist                                       100
     8 ...isher-ABM/sub_functions.jl fnc_dist                                       101
    70 ...isher-ABM/sub_functions.jl fnc_dist                                       102
     1 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 238
     7 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 239
     5 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 240
     1 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 245
    13 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 249
   129 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 250
     9 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 251
     7 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 253
     2 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 256
     2 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 260
     1 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 272
     1 ...isher-ABM/sub_functions.jl fnc_fishfinder                                 278
     3 ...isher-ABM/sub_functions.jl fnc_harvest                                    562
     1 ...isher-ABM/sub_functions.jl fnc_harvest                                    577
     1 ...isher-ABM/sub_functions.jl fnc_harvest                                    591
     2 ...isher-ABM/sub_functions.jl fnc_harvest                                    600
     1 ...isher-ABM/sub_functions.jl fnc_harvest                                    625
     2 ...isher-ABM/sub_functions.jl fnc_information                                438
     3 ...isher-ABM/sub_functions.jl fnc_information                                457
     3 ...isher-ABM/sub_functions.jl fnc_information                                469
     4 ...isher-ABM/sub_functions.jl fnc_information                                472
    46 ...isher-ABM/sub_functions.jl fnc_information                                474
     2 ...isher-ABM/sub_functions.jl fnc_information                                477
     1 ...isher-ABM/sub_functions.jl fnc_information                                481
     1 ...isher-ABM/sub_functions.jl fnc_information                                483
     5 ...isher-ABM/sub_functions.jl fnc_information                                484
     1 ...isher-ABM/sub_functions.jl fnc_information                                485
     3 ...isher-ABM/sub_functions.jl fnc_information                                489
     2 ...isher-ABM/sub_functions.jl fnc_information                                495
     3 ...isher-ABM/sub_functions.jl fnc_information                                502
     2 ...isher-ABM/sub_functions.jl fnc_information                                507
     6 ...isher-ABM/sub_functions.jl fnc_information                                519
     1 ...isher-ABM/sub_functions.jl fnc_information                                522
     2 ...isher-ABM/sub_functions.jl fnc_information                                543
